STOCK,14-07-18,15-07-18,16-07-18,17-07-18,18-07-18,19-07-18,20-07-18,21-07-18,22-07-18,23-07-18,24-07-18,30-07-18,31-07-18
A,10.0,3.0,7.0,13.0,7.0,14.0,9.0,5.0,7.0,28.0,58.0,6.0,2.0
ENPH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
T,4.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,7.0,16.0,1.0,0.0
USD,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
BND,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BABA,2.0,4.0,2.0,3.0,1.0,4.0,1.0,3.0,7.0,0.0,8.0,0.0,0.0
ASTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIGL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0
JPM,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
AAPL,6.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,4.0,6.0,10.0,17.0,5.0
BMY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SP,1.0,0.0,2.0,8.0,1.0,2.0,6.0,6.0,2.0,14.0,5.0,6.0,0.0
JNK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMRN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,2.0,1.0,0.0,15.0,2.0,4.0,1.0,0.0,7.0,5.0,14.0,2.0,0.0
AMZN,1.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,12.0,37.0,39.0,4.0,2.0
SGMO,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,11.0,9.0,0.0
EPS,4.0,0.0,1.0,7.0,2.0,6.0,1.0,0.0,0.0,15.0,14.0,2.0,0.0
SQ,2.0,0.0,5.0,0.0,0.0,4.0,1.0,2.0,3.0,6.0,19.0,9.0,1.0
NVAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
S,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,7.0,1.0,1.0
SEAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
TDOC,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
TRXC,2.0,0.0,3.0,0.0,0.0,5.0,2.0,2.0,0.0,8.0,4.0,0.0,0.0
